Comment,Designator,Footprint,LCSC
TLV73333PDBV,U1,SOT-23-5,C134139
10u,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
4.7n,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1744
4.7k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
0.1u,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
1u,"C2,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
LTST-A683CEGBW1,U2,LTST-A683CEGBW,C5378731
A1304ELHLX-T,IC1,SOT95P285X113-3M,C545185
2.54-3P,U3,CONN-TH_2.54-3P,C68305
XY308-2.54-4P,CN2,CONN-TH_XY308-2.54-4P,C915913
