Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_Small,C_0805_2012Metric,73.5,-68.0,0.0,bottom
C2,C_Small,C_0805_2012Metric,73.5,-100.0,0.0,bottom
C3,C_Small,C_0805_2012Metric,65.0,-106.0,0.0,bottom
C4,C_Small,C_0805_2012Metric,65.0,-138.0,0.0,bottom
C5,C_Small,C_0805_2012Metric,107.0,-55.5,0.0,bottom
C6,C_Small,C_0805_2012Metric,107.0,-87.5,0.0,bottom
C7,C_Small,C_0805_2012Metric,99.5,-96.0,0.0,bottom
C8,C_Small,C_0805_2012Metric,99.5,-128.0,0.0,bottom
C9,C_Small,C_0805_2012Metric,143.5,-55.5,0.0,bottom
C10,C_Small,C_0805_2012Metric,143.5,-87.5,0.0,bottom
C11,C_Small,C_0805_2012Metric,136.0,-96.0,0.0,bottom
C12,C_Small,C_0805_2012Metric,136.0,-128.0,0.0,bottom
C13,C_Small,C_0805_2012Metric,179.5,-55.5,0.0,bottom
C14,C_Small,C_0805_2012Metric,179.5,-87.5,0.0,bottom
C15,C_Small,C_0805_2012Metric,172.0,-96.0,0.0,bottom
C16,C_Small,C_0805_2012Metric,172.0,-128.0,0.0,bottom
J1,Conn_01x03,JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,56.5,-102.0,90.0,bottom
R1,316,R_0805_2012Metric,55.85,-85.8,270.0,bottom
U1,74AHCT1G32SE-7,SOT65P210X110-5N,56.5,-91.0,90.0,bottom
U2,LTST-A683CEGBW1,LTST-A683CEGBW,73.5,-71.7825,0.0,bottom
U3,LTST-A683CEGBW1,LTST-A683CEGBW,73.5,-95.7825,0.0,bottom
U4,LTST-A683CEGBW1,LTST-A683CEGBW,65.0,-109.7825,0.0,bottom
U5,LTST-A683CEGBW1,LTST-A683CEGBW,65.0,-133.7825,0.0,bottom
U6,LTST-A683CEGBW1,LTST-A683CEGBW,107.0,-59.2825,0.0,bottom
U7,LTST-A683CEGBW1,LTST-A683CEGBW,107.0,-83.2825,0.0,bottom
U8,LTST-A683CEGBW1,LTST-A683CEGBW,99.5,-99.7825,0.0,bottom
U9,LTST-A683CEGBW1,LTST-A683CEGBW,99.5,-123.7825,0.0,bottom
U10,LTST-A683CEGBW1,LTST-A683CEGBW,143.5,-59.2825,0.0,bottom
U11,LTST-A683CEGBW1,LTST-A683CEGBW,143.5,-83.2825,0.0,bottom
U12,LTST-A683CEGBW1,LTST-A683CEGBW,136.0,-99.7825,0.0,bottom
U13,LTST-A683CEGBW1,LTST-A683CEGBW,136.0,-123.7825,0.0,bottom
U14,LTST-A683CEGBW1,LTST-A683CEGBW,179.5,-59.2825,0.0,bottom
U15,LTST-A683CEGBW1,LTST-A683CEGBW,179.5,-83.2825,0.0,bottom
U16,LTST-A683CEGBW1,LTST-A683CEGBW,172.0,-99.7825,0.0,bottom
U17,LTST-A683CEGBW1,LTST-A683CEGBW,172.0,-123.7825,0.0,bottom
