Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,140.0,-88.65,-90.0,top
C2,1u,C_0402_1005Metric,135.75,-88.02,-90.0,top
C3,100n,C_0402_1005Metric,137.75,-73.75,90.0,top
C4,100n,C_0402_1005Metric,138.95,-88.05,-90.0,top
C5,100n,C_0402_1005Metric,145.75,-85.0,-90.0,top
C6,100n,C_0402_1005Metric,130.75,-79.75,180.0,top
C7,100n,C_0402_1005Metric,145.5,-80.5,0.0,top
C8,1u,C_0402_1005Metric,134.75,-88.075,-90.0,top
C9,100n,C_0402_1005Metric,139.0,-73.75,90.0,top
C10,100n,C_0402_1005Metric,133.52,-84.75,180.0,top
C11,100n,C_0402_1005Metric,134.1,-86.175,-90.0,top
C12,1u,C_0402_1005Metric,141.25,-101.225,180.0,top
C13,1u,C_0402_1005Metric,140.25,-96.325,0.0,top
C14,100n,C_0402_1005Metric,144.48,-89.525,-90.0,top
C15,15p,C_0402_1005Metric,143.0,-74.75,180.0,top
C16,15p,C_0402_1005Metric,140.25,-71.75,90.0,top
J1,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,151.0,-102.975,180.0,top
J2,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,155.0,-91.45,180.0,top
J3,Conn_02x08_Counter_Clockwise,JST_PUD_B16B-PUDSS_2x08_P2.00mm_Vertical,122.7225,-97.0,180.0,top
J4,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,107.0,-86.75,90.0,top
J5,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,107.025,-72.0,90.0,top
J6,Conn_01x08,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,119.55,-61.0,90.0,top
J7,Conn_01x10,JST_PH_B10B-PH-K_1x10_P2.00mm_Vertical,134.0,-54.45,180.0,top
J8,Conn_02x10_Odd_Even,PinHeader_2x10_P2.54mm_Vertical,129.075,-105.775,-90.0,top
J10,Conn_01x04,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,122.5,-86.8,0.0,top
J11,Conn_01x04,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,160.75,-81.55,0.0,top
J12,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,153.75,-72.75,0.0,top
J13,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,160.75,-72.75,0.0,top
J14,Screw_Terminal_01x05,TerminalBlock_TE_282834-5_1x05_P2.54mm_Horizontal,150.92,-112.0,180.0,top
R1,27,R_0402_1005Metric,137.9,-88.175,90.0,top
R2,27,R_0402_1005Metric,136.85,-88.175,90.0,top
R3,22,R_0402_1005Metric,146.5,-73.5,-90.0,top
R4,22,R_0402_1005Metric,145.25,-73.5,-90.0,top
R5,1k,R_0402_1005Metric,146.75,-87.25,90.0,top
R6,10k,R_0402_1005Metric,143.43,-85.02,-90.0,top
R7,1k,R_0402_1005Metric,140.25,-73.75,-90.0,top
R8,4.7K,R_0402_1005Metric,155.75,-76.25,0.0,top
R9,4.7K,R_0402_1005Metric,155.75,-77.5,0.0,top
SW1,SW_Push_Open,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,159.0,-57.125,-90.0,top
SW2,SW_Push_Open,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,154.0,-57.125,-90.0,top
SW3,SW_Push_Open,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,149.0,-57.125,-90.0,top
U1,RP2040,RP2040-QFN-56,138.75,-81.35,180.0,top
U2,TLV73333PDBV,SOT-23-5,140.75,-98.75,-90.0,top
U3,W25Q16JVUXIQ,8-USON,142.63,-87.82,180.0,top
Y1,Crystal_GND24,Crystal_SMD_2520-4Pin_2.5x2.0mm,142.5,-72.5,90.0,top
