Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW1,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,139.675,-98.2,90.0,top
SW2,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,142.975,-98.2,90.0,top
SW3,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,146.275,-100.3,90.0,top
SW4,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,148.0,-108.0,0.0,top
SW5,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,149.875,-97.25,90.0,top
SW6,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,153.125,-95.95,90.0,top
SW7,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,156.375,-95.95,90.0,top
SW8,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,159.625,-96.45,90.0,top
SW9,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,149.875,-103.25,90.0,top
SW10,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,153.125,-101.95,90.0,top
SW11,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,156.375,-101.95,90.0,top
SW12,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,159.625,-102.45,90.0,top
SW13,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,143.35,-93.725,0.0,top
SW14,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,149.05,-92.775,0.0,top
SW15,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,153.0,-108.8,90.0,top
SW16,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,143.0,-108.8,90.0,top
SW17,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,153.775,-90.375,90.0,top
SW18,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,156.941666,-90.375,90.0,top
SW19,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,163.274998,-90.375,90.0,top
SW20,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,160.108332,-90.375,90.0,top
U1,RP2040-ZERO,COMM-SMD_RP2040-ZERO,148.0,-100.2,0.0,bottom
